"","job_id","user","name","partition","cpus","requested_mem_gb","max_rss_gb","max_vmem_gb","array_task_id","exit_code","wallclock_time","status","method","HVG","n_gene"
"1",11834366,"lhuuki","01_deconvolution_Bisque_HVG","shared",1,25,3.88,4.7,1,0,72,"COMPLETED","Bisque","HVG20",1623
"2",11834367,"lhuuki","01_deconvolution_Bisque_HVG","shared",1,25,3.78,4.28,2,0,74,"COMPLETED","Bisque","HVG30",2434
"3",11834368,"lhuuki","01_deconvolution_Bisque_HVG","shared",1,25,4.11,4.32,3,0,77,"COMPLETED","Bisque","HVG40",3245
"4",11834369,"lhuuki","01_deconvolution_Bisque_HVG","shared",1,25,8.02,8.08,4,0,80,"COMPLETED","Bisque","HVG50",4056
"5",11834370,"lhuuki","01_deconvolution_Bisque_HVG","shared",1,25,9.39,9.47,5,0,84,"COMPLETED","Bisque","HVG60",4868
"6",11834371,"lhuuki","01_deconvolution_Bisque_HVG","shared",1,25,25.97,26.39,6,0,95,"COMPLETED","Bisque","HVG70",5679
"7",11834372,"lhuuki","01_deconvolution_Bisque_HVG","shared",1,25,32.02,32.3,7,0,100,"COMPLETED","Bisque","HVG80",6490
"8",11834373,"lhuuki","01_deconvolution_Bisque_HVG","shared",1,25,35.97,36.02,8,0,103,"COMPLETED","Bisque","HVG90",7302
"9",11834374,"lhuuki","01_deconvolution_Bisque_HVG","shared",1,25,39.81,39.9,9,0,108,"COMPLETED","Bisque","HVG100",8113
"10",11834362,"lhuuki","01_deconvolution_Bisque_HVG","shared",1,25,1.49,1.94,10,0,58,"COMPLETED","Bisque","HVG10",811
"11",11837335,"lhuuki","02_deconvolution_MuSiC_HVG","shared",1,25,4.04,4.65,1,0,4575,"COMPLETED","MuSiC","HVG20",1623
"12",11837336,"lhuuki","02_deconvolution_MuSiC_HVG","shared",1,25,3.48,3.68,2,0,4583,"COMPLETED","MuSiC","HVG30",2434
"13",11837337,"lhuuki","02_deconvolution_MuSiC_HVG","shared",1,25,4.08,4.12,3,0,4599,"COMPLETED","MuSiC","HVG40",3245
"14",11837338,"lhuuki","02_deconvolution_MuSiC_HVG","shared",2,25,4.08,4.22,4,0,4347,"COMPLETED","MuSiC","HVG50",4056
"15",11837339,"lhuuki","02_deconvolution_MuSiC_HVG","shared",2,25,2.97,3.16,5,0,4348,"COMPLETED","MuSiC","HVG60",4868
"16",11837340,"lhuuki","02_deconvolution_MuSiC_HVG","shared",2,25,2.99,3.07,6,0,4351,"COMPLETED","MuSiC","HVG70",5679
"17",11837341,"lhuuki","02_deconvolution_MuSiC_HVG","shared",2,25,3.68,3.73,7,0,4331,"COMPLETED","MuSiC","HVG80",6490
"18",11837342,"lhuuki","02_deconvolution_MuSiC_HVG","shared",2,25,3.66,4.07,8,0,4333,"COMPLETED","MuSiC","HVG90",7302
"19",11837343,"lhuuki","02_deconvolution_MuSiC_HVG","shared",2,25,3.6,3.89,9,0,4200,"COMPLETED","MuSiC","HVG100",8113
"20",11837334,"lhuuki","02_deconvolution_MuSiC_HVG","shared",2,25,4.1,4.69,10,0,4192,"COMPLETED","MuSiC","HVG10",811
"21",11850603,"lhuuki","04_deconvolution_DWLS_HVG","shared",1,75,32.67,33.52,1,0,2860,"COMPLETED","DWLS","HVG20",1623
"22",11850604,"lhuuki","04_deconvolution_DWLS_HVG","shared",1,75,50.03,50.03,2,0,16756,"COMPLETED","DWLS","HVG30",2434
"23",11850605,"lhuuki","04_deconvolution_DWLS_HVG","shared",1,75,52.56,52.56,3,0,19967,"COMPLETED","DWLS","HVG40",3245
"24",11850606,"lhuuki","04_deconvolution_DWLS_HVG","shared",1,75,57.88,57.91,4,0,26123,"COMPLETED","DWLS","HVG50",4056
"25",11850607,"lhuuki","04_deconvolution_DWLS_HVG","shared",1,75,71.45,71.47,5,0,27805,"COMPLETED","DWLS","HVG60",4868
"26",11850608,"lhuuki","04_deconvolution_DWLS_HVG","shared",1,75,82.34,82.92,6,0,24499,"COMPLETED","DWLS","HVG70",5679
"27",11850609,"lhuuki","04_deconvolution_DWLS_HVG","shared",1,75,82.82,86.57,7,0,17435,"OUT_OF_MEMORY","DWLS","HVG80",6490
"28",11850610,"lhuuki","04_deconvolution_DWLS_HVG","shared",1,75,84.66,86.24,8,0,13392,"OUT_OF_MEMORY","DWLS","HVG90",7302
"29",11850611,"lhuuki","04_deconvolution_DWLS_HVG","shared",1,75,89.92,93.79,9,0,12226,"OUT_OF_MEMORY","DWLS","HVG100",8113
"30",11850600,"lhuuki","04_deconvolution_DWLS_HVG","shared",1,75,17.76,17.76,10,0,7695,"COMPLETED","DWLS","HVG10",811
"31",11845017,"lhuuki","05_deconvolution_hspe_HVG","shared",1,10,0.82,0.86,1,0,434,"COMPLETED","hspe","HVG20",1623
"32",11845018,"lhuuki","05_deconvolution_hspe_HVG","shared",1,10,0.83,0.85,2,0,573,"COMPLETED","hspe","HVG30",2434
"33",11845019,"lhuuki","05_deconvolution_hspe_HVG","shared",1,10,0.85,0.86,3,0,591,"COMPLETED","hspe","HVG40",3245
"34",11845020,"lhuuki","05_deconvolution_hspe_HVG","shared",1,10,0.91,0.95,4,0,547,"COMPLETED","hspe","HVG50",4056
"35",11845021,"lhuuki","05_deconvolution_hspe_HVG","shared",1,10,0.91,0.92,5,0,596,"COMPLETED","hspe","HVG60",4868
"36",11845022,"lhuuki","05_deconvolution_hspe_HVG","shared",1,10,0.92,1,6,0,715,"COMPLETED","hspe","HVG70",5679
"37",11845023,"lhuuki","05_deconvolution_hspe_HVG","shared",1,10,0.86,0.86,7,0,619,"COMPLETED","hspe","HVG80",6490
"38",11845024,"lhuuki","05_deconvolution_hspe_HVG","shared",1,10,0.86,0.86,8,0,663,"COMPLETED","hspe","HVG90",7302
"39",11845025,"lhuuki","05_deconvolution_hspe_HVG","shared",1,10,0.86,0.86,9,0,648,"COMPLETED","hspe","HVG100",8113
"40",11845016,"lhuuki","05_deconvolution_hspe_HVG","shared",1,10,0.78,0.79,10,0,208,"COMPLETED","hspe","HVG10",811
"41",11837695,"lhuuki","06_deconvolution_BayesPrism_HVG","shared",1,100,35.12,35.47,1,0,2408,"COMPLETED","BayesPrism","HVG20",1623
"42",11837696,"lhuuki","06_deconvolution_BayesPrism_HVG","shared",1,100,35.29,35.43,2,0,2407,"COMPLETED","BayesPrism","HVG30",2434
"43",11837697,"lhuuki","06_deconvolution_BayesPrism_HVG","shared",1,100,35.24,35.56,3,0,2409,"COMPLETED","BayesPrism","HVG40",3245
"44",11837698,"lhuuki","06_deconvolution_BayesPrism_HVG","shared",1,100,36.15,36.27,4,0,2393,"COMPLETED","BayesPrism","HVG50",4056
"45",11837699,"lhuuki","06_deconvolution_BayesPrism_HVG","shared",1,100,35.27,35.3,5,0,2399,"COMPLETED","BayesPrism","HVG60",4868
"46",11837700,"lhuuki","06_deconvolution_BayesPrism_HVG","shared",1,100,36.19,36.25,6,0,2395,"COMPLETED","BayesPrism","HVG70",5679
"47",11837701,"lhuuki","06_deconvolution_BayesPrism_HVG","shared",1,100,35.25,35.3,7,0,2395,"COMPLETED","BayesPrism","HVG80",6490
"48",11837702,"lhuuki","06_deconvolution_BayesPrism_HVG","shared",1,100,35.34,35.34,8,0,2404,"COMPLETED","BayesPrism","HVG90",7302
"49",11837703,"lhuuki","06_deconvolution_BayesPrism_HVG","shared",1,100,35.38,35.38,9,0,2400,"COMPLETED","BayesPrism","HVG100",8113
"50",11837694,"lhuuki","06_deconvolution_BayesPrism_HVG","shared",1,100,34.95,35.48,10,0,2355,"COMPLETED","BayesPrism","HVG10",811
"51",11844299,"lhuuki","07_deconvolution_CIBERSORTx_HVG","shared",1,10,5.13,7.33,1,0,1764,"COMPLETED","CIBERSORTx","HVG20",1623
"52",11844300,"lhuuki","07_deconvolution_CIBERSORTx_HVG","shared",1,10,7.31,9.99,2,0,1882,"COMPLETED","CIBERSORTx","HVG30",2434
"53",11844301,"lhuuki","07_deconvolution_CIBERSORTx_HVG","shared",1,10,9.05,9.98,3,0,1921,"COMPLETED","CIBERSORTx","HVG40",3245
"54",11844302,"lhuuki","07_deconvolution_CIBERSORTx_HVG","shared",1,10,9.97,9.98,4,0,997,"OUT_OF_MEMORY","CIBERSORTx","HVG50",4056
"55",11844303,"lhuuki","07_deconvolution_CIBERSORTx_HVG","shared",1,10,9.96,10.79,5,0,1028,"OUT_OF_MEMORY","CIBERSORTx","HVG60",4868
"56",11844304,"lhuuki","07_deconvolution_CIBERSORTx_HVG","shared",1,10,9.96,11.19,6,0,1294,"OUT_OF_MEMORY","CIBERSORTx","HVG70",5679
"57",11844305,"lhuuki","07_deconvolution_CIBERSORTx_HVG","shared",1,10,9.95,13.56,7,0,1772,"OUT_OF_MEMORY","CIBERSORTx","HVG80",6490
"58",11844306,"lhuuki","07_deconvolution_CIBERSORTx_HVG","shared",1,10,9.95,11.84,8,0,1571,"OUT_OF_MEMORY","CIBERSORTx","HVG90",7302
"59",11844307,"lhuuki","07_deconvolution_CIBERSORTx_HVG","shared",1,10,9.95,11.32,9,0,1473,"OUT_OF_MEMORY","CIBERSORTx","HVG100",8113
"60",11844298,"lhuuki","07_deconvolution_CIBERSORTx_HVG","shared",1,10,2.28,3.46,10,0,1635,"COMPLETED","CIBERSORTx","HVG10",811
