SAMPLE_ID,Sample,Combo,cell_type,Confidence,sum_area,area_prop
Br2720M_CIRCLE,Br2720_mid,Circle,Astro,Low,102297.048986,0.21007593414267478
Br2720M_CIRCLE,Br2720_mid,Circle,Endo,Low,39993.879621,0.08213092855221164
Br2720M_CIRCLE,Br2720_mid,Circle,Inhib,Low,85674.691658,0.17594047004135127
Br2720M_CIRCLE,Br2720_mid,Circle,Other,Low,258987.106631,0.5318526672637623
Br2720P_CIRCLE,Br2720_post,Circle,Astro,High,96087.312965,0.09151083522759466
Br2720P_CIRCLE,Br2720_post,Circle,Endo,High,58198.924175,0.05542700691965074
Br2720P_CIRCLE,Br2720_post,Circle,Inhib,High,106366.622126,0.1013005581146153
Br2720P_CIRCLE,Br2720_post,Circle,Other,High,789357.368769,0.7517615997381392
Br2720P_STAR,Br2720_post,Star,Excit,High,314991.72715,0.27669623629628154
Br2720P_STAR,Br2720_post,Star,Micro,High,42886.140523,0.03767220739209037
Br2720P_STAR,Br2720_post,Star,Oligo,High,141096.063987,0.12394214354344261
Br2720P_STAR,Br2720_post,Star,Other,High,639428.712938,0.5616894127681855
Br2743A_CIRCLE,Br2743_ant,Circle,Astro,OK,757311.968416,0.5010865684906838
Br2743A_CIRCLE,Br2743_ant,Circle,Endo,OK,174019.395678,0.11514248482497544
Br2743A_CIRCLE,Br2743_ant,Circle,Inhib,OK,92643.262339,0.061298772969782804
Br2743A_CIRCLE,Br2743_ant,Circle,Other,OK,487364.962447,0.322472173714558
Br2743A_STAR,Br2743_ant,Star,Excit,High,265576.940044,0.2101092706711721
Br2743A_STAR,Br2743_ant,Star,Micro,High,79095.736047,0.06257601812597646
Br2743A_STAR,Br2743_ant,Star,Oligo,High,141360.092468,0.11183601228909462
Br2743A_STAR,Br2743_ant,Star,Other,High,777961.624433,0.6154786989137568
Br3942A_CIRCLE,Br3942_ant,Circle,Astro,High,88861.883203,0.058884347110006036
Br3942A_CIRCLE,Br3942_ant,Circle,Endo,High,93408.895416,0.06189742578685642
Br3942A_CIRCLE,Br3942_ant,Circle,Inhib,High,248285.240961,0.16452627137824863
Br3942A_CIRCLE,Br3942_ant,Circle,Other,High,1078535.743584,0.7146919557248889
Br3942M_CIRCLE,Br3942_mid,Circle,Astro,High,73214.614033,0.06277409922158624
Br3942M_CIRCLE,Br3942_mid,Circle,Endo,High,33923.945053,0.029086339126022195
Br3942M_CIRCLE,Br3942_mid,Circle,Inhib,High,161683.235992,0.1386269617436522
Br3942M_CIRCLE,Br3942_mid,Circle,Other,High,897497.03611,0.7695125999087393
Br3942M_STAR,Br3942_mid,Star,Excit,OK,404016.527011,0.3729687891970745
Br3942M_STAR,Br3942_mid,Star,Micro,OK,10022.388166,0.00925219076256832
Br3942M_STAR,Br3942_mid,Star,Oligo,OK,24961.502432,0.023043268569925095
Br3942M_STAR,Br3942_mid,Star,Other,OK,644244.450898,0.594735751470432
Br3942P_CIRCLE,Br3942_post,Circle,Astro,High,148236.080121,0.09201562505162225
Br3942P_CIRCLE,Br3942_post,Circle,Endo,High,80374.283894,0.0498912947815815
Br3942P_CIRCLE,Br3942_post,Circle,Inhib,High,223701.796109,0.13885998993860424
Br3942P_CIRCLE,Br3942_post,Circle,Other,High,1158675.974096,0.719233090228192
Br6423A_CIRCLE,Br6423_ant,Circle,Astro,OK,531150.974965,0.35976117113858036
Br6423A_CIRCLE,Br6423_ant,Circle,Endo,OK,70527.234867,0.04776977132460236
Br6423A_CIRCLE,Br6423_ant,Circle,Inhib,OK,137930.256729,0.09342343897521775
Br6423A_CIRCLE,Br6423_ant,Circle,Other,OK,736790.371268,0.49904561856159957
Br6423A_STAR,Br6423_ant,Star,Excit,OK,397051.355801,0.2906516856328357
Br6423A_STAR,Br6423_ant,Star,Micro,OK,88111.454136,0.06449982425201478
Br6423A_STAR,Br6423_ant,Star,Oligo,OK,224911.67909,0.1646410664286548
Br6423A_STAR,Br6423_ant,Star,Other,OK,655998.289586,0.48020742368649477
Br6423P_CIRCLE,Br6423_post,Circle,Astro,High,304583.67953,0.21982445134691128
Br6423P_CIRCLE,Br6423_post,Circle,Endo,High,45681.801035,0.03296951716045098
Br6423P_CIRCLE,Br6423_post,Circle,Inhib,High,169718.550538,0.12248944957582404
Br6423P_CIRCLE,Br6423_post,Circle,Other,High,865592.858382,0.6247165819168138
Br6423P_STAR,Br6423_post,Star,Excit,High,494847.931258,0.37224145723052393
Br6423P_STAR,Br6423_post,Star,Micro,High,30862.154697,0.023215563230667573
Br6423P_STAR,Br6423_post,Star,Oligo,High,48315.163264,0.03634431032984395
Br6423P_STAR,Br6423_post,Star,Other,High,755348.257267,0.5681986692089646
Br6432P_CIRCLE,Br6432_post,Circle,Astro,Low,471305.766972,0.40662289082941405
Br6432P_CIRCLE,Br6432_post,Circle,Endo,Low,75543.095165,0.06517542090678204
Br6432P_CIRCLE,Br6432_post,Circle,Inhib,Low,119589.79867,0.1031770732646095
Br6432P_CIRCLE,Br6432_post,Circle,Other,Low,492634.715536,0.4250246149991944
Br6432P_STAR,Br6432_post,Star,Excit,OK,145549.442438,0.15853211038141693
Br6432P_STAR,Br6432_post,Star,Micro,OK,64728.498053,0.0705021278424523
Br6432P_STAR,Br6432_post,Star,Oligo,OK,230486.066006,0.2510448810067172
Br6432P_STAR,Br6432_post,Star,Other,OK,477343.007204,0.5199208807694136
Br6471A_CIRCLE,Br6471_ant,Circle,Astro,Low,58228.095819,0.05268101510802212
Br6471A_CIRCLE,Br6471_ant,Circle,Endo,Low,75174.80266,0.0680132994041991
Br6471A_CIRCLE,Br6471_ant,Circle,Inhib,Low,170525.407049,0.15428035931270595
Br6471A_CIRCLE,Br6471_ant,Circle,Other,Low,801367.325158,0.7250253261750729
Br6471A_STAR,Br6471_ant,Star,Excit,Low,232849.775556,0.20184877695693054
Br6471A_STAR,Br6471_ant,Star,Micro,Low,32551.949042,0.028218069293830236
Br6471A_STAR,Br6471_ant,Star,Oligo,Low,325554.842333,0.28221133819181443
Br6471A_STAR,Br6471_ant,Star,Other,Low,562628.701538,0.48772181555742483
Br6471M_CIRCLE,Br6471_mid,Circle,Astro,High,493409.742726,0.32254801961796087
Br6471M_CIRCLE,Br6471_mid,Circle,Endo,High,67288.436603,0.04398727890855384
Br6471M_CIRCLE,Br6471_mid,Circle,Inhib,High,214745.719365,0.1403819189299628
Br6471M_CIRCLE,Br6471_mid,Circle,Other,High,754281.018887,0.4930827825435224
Br6471M_STAR,Br6471_mid,Star,Excit,OK,372981.257996,0.2465610500302017
Br6471M_STAR,Br6471_mid,Star,Micro,OK,22592.23051,0.014934702368154109
Br6471M_STAR,Br6471_mid,Star,Oligo,OK,224572.929194,0.1484550122650522
Br6471M_STAR,Br6471_mid,Star,Other,OK,892587.479038,0.590049235336592
Br6522M_CIRCLE,Br6522_mid,Circle,Astro,OK,540323.738199,0.5512603003287927
Br6522M_CIRCLE,Br6522_mid,Circle,Endo,OK,76495.562923,0.07804389111481588
Br6522M_CIRCLE,Br6522_mid,Circle,Inhib,OK,16613.333844,0.016949600317084285
Br6522M_CIRCLE,Br6522_mid,Circle,Other,OK,346728.167248,0.35374620823930714
Br6522M_STAR,Br6522_mid,Star,Excit,OK,314018.925698,0.29241270499741073
Br6522M_STAR,Br6522_mid,Star,Micro,OK,21444.646213,0.01996913718788558
Br6522M_STAR,Br6522_mid,Star,Oligo,OK,116723.310283,0.10869210771368963
Br6522M_STAR,Br6522_mid,Star,Other,OK,621702.590908,0.578926050101014
Br6522P_CIRCLE,Br6522_post,Circle,Astro,Low,265422.119916,0.24769035536155432
Br6522P_CIRCLE,Br6522_post,Circle,Endo,Low,114345.880239,0.10670690038754503
Br6522P_CIRCLE,Br6522_post,Circle,Inhib,Low,116505.820611,0.10872254399128747
Br6522P_CIRCLE,Br6522_post,Circle,Other,Low,575314.612819,0.5368802002596132
Br6522P_STAR,Br6522_post,Star,Excit,OK,322999.848131,0.38633547328337337
Br6522P_STAR,Br6522_post,Star,Micro,OK,11297.289534,0.013512525545111247
Br6522P_STAR,Br6522_post,Star,Oligo,OK,97785.327229,0.11695962364621157
Br6522P_STAR,Br6522_post,Star,Other,OK,403978.08472600003,0.48319237752530375
Br8325A_CIRCLE,Br8325_ant,Circle,Astro,Low,151543.975645,0.1617518034813511
Br8325A_CIRCLE,Br8325_ant,Circle,Endo,Low,89386.046528,0.09540698777654773
Br8325A_CIRCLE,Br8325_ant,Circle,Inhib,Low,145220.828344,0.15500273625342706
Br8325A_CIRCLE,Br8325_ant,Circle,Other,Low,550741.180257,0.587838472488674
Br8325A_STAR,Br8325_ant,Star,Excit,OK,254835.457475,0.27178290196127713
Br8325A_STAR,Br8325_ant,Star,Micro,OK,115342.661706,0.12301334998278207
Br8325A_STAR,Br8325_ant,Star,Oligo,OK,126641.619884,0.1350637281883236
Br8325A_STAR,Br8325_ant,Star,Other,OK,440823.70957,0.47014001986761716
Br8325M_CIRCLE,Br8325_mid,Circle,Astro,OK,184755.562915,0.17832301169529294
Br8325M_CIRCLE,Br8325_mid,Circle,Endo,OK,103075.599168,0.09948686245724019
Br8325M_CIRCLE,Br8325_mid,Circle,Inhib,OK,133034.605944,0.12840279998792156
Br8325M_CIRCLE,Br8325_mid,Circle,Other,OK,615206.700459,0.5937873258595453
Br8325M_STAR,Br8325_mid,Star,Excit,OK,170033.814927,0.14914356137936985
Br8325M_STAR,Br8325_mid,Star,Micro,OK,93687.509716,0.08217711789744578
Br8325M_STAR,Br8325_mid,Star,Oligo,OK,249902.971435,0.21920004073956958
Br8325M_STAR,Br8325_mid,Star,Other,OK,626443.792376,0.5494792799836148
Br8492M_CIRCLE,Br8492_mid,Circle,Astro,High,103091.112032,0.08168793650460059
Br8492M_CIRCLE,Br8492_mid,Circle,Endo,High,122785.704686,0.09729365267637437
Br8492M_CIRCLE,Br8492_mid,Circle,Inhib,High,159264.891173,0.1261992431851329
Br8492M_CIRCLE,Br8492_mid,Circle,Other,High,876869.752347,0.6948191676338922
Br8492P_CIRCLE,Br8492_post,Circle,Astro,High,103806.992581,0.06401851762580568
Br8492P_CIRCLE,Br8492_post,Circle,Endo,High,102891.422135,0.06345387875825365
Br8492P_CIRCLE,Br8492_post,Circle,Inhib,High,186305.926698,0.11489620261179787
Br8492P_CIRCLE,Br8492_post,Circle,Other,High,1228510.751887,0.7576314010041428
Br8492P_STAR,Br8492_post,Star,Excit,High,466685.949257,0.2971036013725449
Br8492P_STAR,Br8492_post,Star,Micro,High,62828.630539,0.039998230999156156
Br8492P_STAR,Br8492_post,Star,Oligo,High,83147.200447,0.05293352571719414
Br8492P_STAR,Br8492_post,Star,Other,High,958123.451242,0.6099646419111049
Br8667A_CIRCLE,Br8667_ant,Circle,Astro,Low,485233.32839,0.42043065695513593
Br8667A_CIRCLE,Br8667_ant,Circle,Endo,Low,75753.106612,0.06563631662513802
Br8667A_CIRCLE,Br8667_ant,Circle,Inhib,Low,83232.799623,0.07211710032742726
Br8667A_CIRCLE,Br8667_ant,Circle,Other,Low,509914.795239,0.4418159260922988
Br8667A_STAR,Br8667_ant,Star,Excit,Low,278286.336651,0.2968996507387611
Br8667A_STAR,Br8667_ant,Star,Micro,Low,43968.026637,0.046908849026853355
Br8667A_STAR,Br8667_ant,Star,Other,Low,615053.363274,0.6561915002343855
Br8667M_CIRCLE,Br8667_mid,Circle,Astro,High,119995.112062,0.08630092734797637
Br8667M_CIRCLE,Br8667_mid,Circle,Endo,High,59525.493928,0.042810954867715426
Br8667M_CIRCLE,Br8667_mid,Circle,Inhib,High,191162.084378,0.13748447642658537
Br8667M_CIRCLE,Br8667_mid,Circle,Other,High,1019743.991586,0.7334036413577228
Br8667M_STAR,Br8667_mid,Star,Excit,OK,488618.850744,0.36437359309217593
Br8667M_STAR,Br8667_mid,Star,Micro,OK,20176.666977,0.015046174808522815
Br8667M_STAR,Br8667_mid,Star,Oligo,OK,23766.637779,0.01772329329920111
Br8667M_STAR,Br8667_mid,Star,Other,OK,808421.00027,0.6028569388001
