SAMPLE_ID,Sample,Combo,cell_type,Confidence,n_cell,prop,n_cell_sn,prop_sn
Br2720M_CIRCLE,Br2720_mid,Circle,Astro,Low,2556,0.18549967341606793,150,0.04943968358602504
Br2720M_CIRCLE,Br2720_mid,Circle,EndoMural,Low,1131,0.08208142826039626,37,0.01219512195121951
Br2720M_CIRCLE,Br2720_mid,Circle,Inhib,Low,2199,0.1595906814718049,1733,0.571193144363876
Br2720M_CIRCLE,Br2720_mid,Circle,Other,Low,7893,0.5728282168517309,NA,NA
Br2720P_CIRCLE,Br2720_post,Circle,Astro,High,3385,0.09357808310065518,81,0.04287983059820011
Br2720P_CIRCLE,Br2720_post,Circle,EndoMural,High,1680,0.04644347994360434,66,0.03493912122816305
Br2720P_CIRCLE,Br2720_post,Circle,Inhib,High,3092,0.08547811903906229,94,0.04976177871889889
Br2720P_CIRCLE,Br2720_post,Circle,Other,High,28016,0.7745003179166782,NA,NA
Br2720P_STAR,Br2720_post,Star,Excit,High,8687,0.23132639203259395,1198,0.6341979883536263
Br2720P_STAR,Br2720_post,Star,Micro,High,1416,0.037706707852901235,47,0.02488088935944944
Br2720P_STAR,Br2720_post,Star,OligoOPC,High,4628,0.12323915532713764,403,0.21334039174166225
Br2720P_STAR,Br2720_post,Star,Other,High,22822,0.6077277447873672,NA,NA
Br2743A_CIRCLE,Br2743_ant,Circle,Astro,OK,29918,0.5187432812012345,352,0.1443806398687449
Br2743A_CIRCLE,Br2743_ant,Circle,EndoMural,OK,5808,0.10070395672226654,100,0.04101722723543889
Br2743A_CIRCLE,Br2743_ant,Circle,Inhib,OK,2960,0.051322953150466415,96,0.03937653814602133
Br2743A_CIRCLE,Br2743_ant,Circle,Other,OK,18988,0.32922980892603254,NA,NA
Br2743A_STAR,Br2743_ant,Star,Excit,High,8574,0.1719408013476116,497,0.20385561936013125
Br2743A_STAR,Br2743_ant,Star,Micro,High,3168,0.06353026109974733,112,0.04593929450369155
Br2743A_STAR,Br2743_ant,Star,OligoOPC,High,5470,0.10969397986604099,1281,0.5254306808859721
Br2743A_STAR,Br2743_ant,Star,Other,High,32654,0.6548349576866,NA,NA
Br3942A_CIRCLE,Br3942_ant,Circle,Astro,High,2954,0.059580475998386444,420,0.08328375966686496
Br3942A_CIRCLE,Br3942_ant,Circle,EndoMural,High,2784,0.05615167406212182,391,0.0775332143565338
Br3942A_CIRCLE,Br3942_ant,Circle,Inhib,High,7152,0.14425171440096812,585,0.11600237953599048
Br3942A_CIRCLE,Br3942_ant,Circle,Other,High,36690,0.7400161355385236,NA,NA
Br3942M_CIRCLE,Br3942_mid,Circle,Astro,High,2105,0.06305604649072881,214,0.066875
Br3942M_CIRCLE,Br3942_mid,Circle,EndoMural,High,876,0.026240901057424437,189,0.0590625
Br3942M_CIRCLE,Br3942_mid,Circle,Inhib,High,3666,0.10981637360333103,247,0.0771875
Br3942M_CIRCLE,Br3942_mid,Circle,Other,High,26736,0.8008866788485157,NA,NA
Br3942M_STAR,Br3942_mid,Star,Excit,OK,10642,0.3129723847895774,2156,0.67375
Br3942M_STAR,Br3942_mid,Star,Micro,OK,334,0.009822662706231803,84,0.02625
Br3942M_STAR,Br3942_mid,Star,OligoOPC,OK,916,0.026938799517689616,310,0.096875
Br3942M_STAR,Br3942_mid,Star,Other,OK,22111,0.6502661529865011,NA,NA
Br3942P_CIRCLE,Br3942_post,Circle,Astro,High,5080,0.0997643362136685,NA,NA
Br3942P_CIRCLE,Br3942_post,Circle,EndoMural,High,2357,0.04628829536527887,NA,NA
Br3942P_CIRCLE,Br3942_post,Circle,Inhib,High,5731,0.1125490966221524,NA,NA
Br3942P_CIRCLE,Br3942_post,Circle,Other,High,37752,0.7413982717989003,NA,NA
Br6423A_CIRCLE,Br6423_ant,Circle,Astro,OK,17140,0.3778493011771968,305,0.11566173682214638
Br6423A_CIRCLE,Br6423_ant,Circle,EndoMural,OK,2127,0.04688946695471981,93,0.03526734926052332
Br6423A_CIRCLE,Br6423_ant,Circle,Inhib,OK,3326,0.07332128213041753,136,0.0515737580583997
Br6423A_CIRCLE,Br6423_ant,Circle,Other,OK,22769,0.5019399497376659,NA,NA
Br6423A_STAR,Br6423_ant,Star,Excit,OK,10932,0.23360971023164373,1130,0.428517254455821
Br6423A_STAR,Br6423_ant,Star,Micro,OK,3281,0.07011283015642363,82,0.03109594235874099
Br6423A_STAR,Br6423_ant,Star,OligoOPC,OK,8451,0.18059235832122403,891,0.3378839590443686
Br6423A_STAR,Br6423_ant,Star,Other,OK,24132,0.5156851012907087,NA,NA
Br6423P_CIRCLE,Br6423_post,Circle,Astro,High,8713,0.21763456975146747,420,0.1554979637171418
Br6423P_CIRCLE,Br6423_post,Circle,EndoMural,High,1290,0.03222180591982016,175,0.06479081821547575
Br6423P_CIRCLE,Br6423_post,Circle,Inhib,High,4042,0.10096165854876983,196,0.07256571640133284
Br6423P_CIRCLE,Br6423_post,Circle,Other,High,25990,0.6491819657799426,NA,NA
Br6423P_STAR,Br6423_post,Star,Excit,High,13087,0.31696093390491414,978,0.36208811551277303
Br6423P_STAR,Br6423_post,Star,Micro,High,1048,0.025382063019206084,124,0.04590892262125139
Br6423P_STAR,Br6423_post,Star,OligoOPC,High,1828,0.04427329312892054,808,0.2991484635320252
Br6423P_STAR,Br6423_post,Star,Other,High,25326,0.6133837099469592,NA,NA
Br6432P_CIRCLE,Br6432_post,Circle,Astro,Low,15063,0.4151531020036932,NA,NA
Br6432P_CIRCLE,Br6432_post,Circle,EndoMural,Low,2198,0.060579334674641015,NA,NA
Br6432P_CIRCLE,Br6432_post,Circle,Inhib,Low,2920,0.08047846098723921,NA,NA
Br6432P_CIRCLE,Br6432_post,Circle,Other,Low,16102,0.4437891023344266,NA,NA
Br6432P_STAR,Br6432_post,Star,Excit,OK,3311,0.11535379577047696,NA,NA
Br6432P_STAR,Br6432_post,Star,Micro,OK,2208,0.07692575688952374,NA,NA
Br6432P_STAR,Br6432_post,Star,OligoOPC,OK,7306,0.25453785318607813,NA,NA
Br6432P_STAR,Br6432_post,Star,Other,OK,15878,0.5531825941539212,NA,NA
Br6471A_CIRCLE,Br6471_ant,Circle,Astro,Low,1600,0.0557607862270858,8,0.00251414204902577
Br6471A_CIRCLE,Br6471_ant,Circle,EndoMural,Low,1968,0.06858576705931553,8,0.00251414204902577
Br6471A_CIRCLE,Br6471_ant,Circle,Inhib,Low,3898,0.13584721544573777,2476,0.7781269641734758
Br6471A_CIRCLE,Br6471_ant,Circle,Other,Low,21228,0.7398062312678608,NA,NA
Br6471A_STAR,Br6471_ant,Star,Excit,Low,5488,0.1678133504571446,660,0.207416719044626
Br6471A_STAR,Br6471_ant,Star,Micro,Low,986,0.030150139130966577,NA,NA
Br6471A_STAR,Br6471_ant,Star,OligoOPC,Low,8956,0.2738586674005443,30,0.00942803268384663
Br6471A_STAR,Br6471_ant,Star,Other,Low,17273,0.5281778430113445,NA,NA
Br6471M_CIRCLE,Br6471_mid,Circle,Astro,High,15430,0.32450052576235544,347,0.07724844167408727
Br6471M_CIRCLE,Br6471_mid,Circle,EndoMural,High,1860,0.039116719242902206,219,0.048753339269813
Br6471M_CIRCLE,Br6471_mid,Circle,Inhib,High,5737,0.12065194532071503,585,0.13023152270703472
Br6471M_CIRCLE,Br6471_mid,Circle,Other,High,24523,0.5157308096740273,NA,NA
Br6471M_STAR,Br6471_mid,Star,Excit,OK,11048,0.2072834387136719,1819,0.4049421193232413
Br6471M_STAR,Br6471_mid,Star,Micro,OK,884,0.016585677029587798,141,0.03138913624220837
Br6471M_STAR,Br6471_mid,Star,OligoOPC,OK,8355,0.15675716242331,1381,0.30743544078361534
Br6471M_STAR,Br6471_mid,Star,Other,OK,33012,0.6193737218334303,NA,NA
Br6522M_CIRCLE,Br6522_mid,Circle,Astro,Low,15438,0.5095385834048453,69,0.07309322033898305
Br6522M_CIRCLE,Br6522_mid,Circle,EndoMural,Low,2165,0.07145686183906529,77,0.0815677966101695
Br6522M_CIRCLE,Br6522_mid,Circle,Inhib,Low,567,0.01871410654168592,97,0.1027542372881356
Br6522M_CIRCLE,Br6522_mid,Circle,Other,Low,12128,0.40029044821440357,NA,NA
Br6522M_STAR,Br6522_mid,Star,Excit,OK,9457,0.2584444687363358,452,0.4788135593220339
Br6522M_STAR,Br6522_mid,Star,Micro,OK,716,0.019567118495846088,49,0.05190677966101695
Br6522M_STAR,Br6522_mid,Star,OligoOPC,OK,3702,0.10116965456930477,200,0.211864406779661
Br6522M_STAR,Br6522_mid,Star,Other,OK,22717,0.6208187581985133,NA,NA
Br6522P_CIRCLE,Br6522_post,Circle,Astro,Low,7863,0.2403484640073361,51,0.05537459283387622
Br6522P_CIRCLE,Br6522_post,Circle,EndoMural,Low,3321,0.1015130674002751,43,0.04668838219326819
Br6522P_CIRCLE,Br6522_post,Circle,Inhib,Low,3197,0.0977227571450405,60,0.06514657980456026
Br6522P_CIRCLE,Br6522_post,Circle,Other,Low,18334,0.5604157114473484,NA,NA
Br6522P_STAR,Br6522_post,Star,Excit,OK,9124,0.32477841455166767,449,0.48751357220412594
Br6522P_STAR,Br6522_post,Star,Micro,OK,434,0.015448688285337984,34,0.03691639522258415
Br6522P_STAR,Br6522_post,Star,OligoOPC,OK,3494,0.12437261951375787,284,0.30836047774158526
Br6522P_STAR,Br6522_post,Star,Other,OK,15041,0.5354002776492365,NA,NA
Br8325A_CIRCLE,Br8325_ant,Circle,Astro,Low,4608,0.15790014734605765,282,0.06056701030927835
Br8325A_CIRCLE,Br8325_ant,Circle,EndoMural,Low,2558,0.08765377103107974,174,0.03737113402061855
Br8325A_CIRCLE,Br8325_ant,Circle,Inhib,Low,4117,0.14107528355549465,820,0.17611683848797252
Br8325A_CIRCLE,Br8325_ant,Circle,Other,Low,17900,0.6133707980673679,NA,NA
Br8325A_STAR,Br8325_ant,Star,Excit,OK,6883,0.22099855514528816,2767,0.594286941580756
Br8325A_STAR,Br8325_ant,Star,Micro,OK,3875,0.12441804462995665,124,0.02663230240549828
Br8325A_STAR,Br8325_ant,Star,OligoOPC,OK,4395,0.1411141435222347,489,0.10502577319587628
Br8325A_STAR,Br8325_ant,Star,Other,OK,15992,0.5134692567025204,NA,NA
Br8325M_CIRCLE,Br8325_mid,Circle,Astro,OK,5391,0.16626060138781804,255,0.06360688450985283
Br8325M_CIRCLE,Br8325_mid,Circle,EndoMural,OK,3034,0.0935697764070933,81,0.02020453978548266
Br8325M_CIRCLE,Br8325_mid,Circle,Inhib,OK,3822,0.11787201233616038,558,0.13918682963332502
Br8325M_CIRCLE,Br8325_mid,Circle,Other,OK,20178,0.6222976098689283,NA,NA
Br8325M_STAR,Br8325_mid,Star,Excit,OK,4680,0.12981969486823855,1944,0.4849089548515839
Br8325M_STAR,Br8325_mid,Star,Micro,OK,3040,0.08432732316227462,115,0.0286854577201297
Br8325M_STAR,Br8325_mid,Star,OligoOPC,OK,6608,0.1833009708737864,1056,0.26340733349962586
Br8325M_STAR,Br8325_mid,Star,Other,OK,21722,0.6025520110957004,NA,NA
Br8492M_CIRCLE,Br8492_mid,Circle,Astro,High,3721,0.08398031958111402,263,0.07820398453761522
Br8492M_CIRCLE,Br8492_mid,Circle,EndoMural,High,3931,0.08871987000090277,162,0.04817127564674398
Br8492M_CIRCLE,Br8492_mid,Circle,Inhib,High,5103,0.11517107520086665,364,0.10823669342848648
Br8492M_CIRCLE,Br8492_mid,Circle,Other,High,31553,0.7121287352171165,NA,NA
Br8492P_CIRCLE,Br8492_post,Circle,Astro,High,3279,0.061858587383036526,269,0.13959522573949143
Br8492P_CIRCLE,Br8492_post,Circle,EndoMural,High,2913,0.054953969212194385,91,0.04722366372599896
Br8492P_CIRCLE,Br8492_post,Circle,Inhib,High,5445,0.10272034409900392,194,0.10067462376751428
Br8492P_CIRCLE,Br8492_post,Circle,Other,High,41371,0.7804670993057652,NA,NA
Br8492P_STAR,Br8492_post,Star,Excit,High,13513,0.2515965666834236,889,0.461338868707836
Br8492P_STAR,Br8492_post,Star,Micro,High,2142,0.039881584092051614,104,0.05396990140114167
Br8492P_STAR,Br8492_post,Star,OligoOPC,High,2756,0.05131356011096837,380,0.19719771665801764
Br8492P_STAR,Br8492_post,Star,Other,High,35298,0.6572082891135563,NA,NA
Br8667A_CIRCLE,Br8667_ant,Circle,Astro,Low,14306,0.3786058328481448,201,0.0472385428907168
Br8667A_CIRCLE,Br8667_ant,Circle,EndoMural,Low,2291,0.06063092150531943,126,0.02961222091656874
Br8667A_CIRCLE,Br8667_ant,Circle,Inhib,Low,2647,0.07005240035992166,192,0.04512338425381904
Br8667A_CIRCLE,Br8667_ant,Circle,Other,Low,18542,0.4907108452866141,NA,NA
Br8667A_STAR,Br8667_ant,Star,Excit,Low,8214,0.25601545941902504,1793,0.4213866039952997
Br8667A_STAR,Br8667_ant,Star,Micro,Low,1515,0.047219798030170804,77,0.01809635722679201
Br8667A_STAR,Br8667_ant,Star,Other,Low,22355,0.6967647425508041,NA,NA
Br8667M_CIRCLE,Br8667_mid,Circle,Astro,High,3348,0.0871126375770822,128,0.06037735849056604
Br8667M_CIRCLE,Br8667_mid,Circle,EndoMural,High,1570,0.040850310930710586,81,0.03820754716981132
Br8667M_CIRCLE,Br8667_mid,Circle,Inhib,High,4312,0.112195248874665,151,0.07122641509433962
Br8667M_CIRCLE,Br8667_mid,Circle,Other,High,29203,0.7598418026175422,NA,NA
Br8667M_STAR,Br8667_mid,Star,Excit,OK,12456,0.3141646489104116,1322,0.6235849056603774
Br8667M_STAR,Br8667_mid,Star,Micro,OK,690,0.01740314769975787,60,0.02830188679245283
Br8667M_STAR,Br8667_mid,Star,OligoOPC,OK,832,0.020984665052461663,378,0.17830188679245282
Br8667M_STAR,Br8667_mid,Star,Other,OK,25670,0.6474475383373689,NA,NA
