SAMPLE_ID,Round,Section,BrNum,Pos,Combo,Position,Sample,Slide,subslide,Glare,i,subslide2,n_nuc,cell_type,n,prop
R1_2720M_Circle,R1,2720M,Br2720,M,Circle,Middle,Br2720_mid,5,A,FALSE,1,A1,28239,Astro,4371,0.15478593434611707
R1_2720M_Circle,R1,2720M,Br2720,M,Circle,Middle,Br2720_mid,5,A,FALSE,1,A1,28239,Endo,2358,0.0835015404228195
R1_2720M_Circle,R1,2720M,Br2720,M,Circle,Middle,Br2720_mid,5,A,FALSE,1,A1,28239,Inhib,3356,0.11884273522433514
R1_2720M_Circle,R1,2720M,Br2720,M,Circle,Middle,Br2720_mid,5,A,FALSE,1,A1,28239,Other,18154,0.6428697900067283
R1_6432A_Circle,R1,6432A,Br6432,A,Circle,Anterior,Br6432_ant,5,D,FALSE,1,D1,61378,Astro,11045,0.17995047085274854
R1_6432A_Circle,R1,6432A,Br6432,A,Circle,Anterior,Br6432_ant,5,D,FALSE,1,D1,61378,Endo,3234,0.052689888885268335
R1_6432A_Circle,R1,6432A,Br6432,A,Circle,Anterior,Br6432_ant,5,D,FALSE,1,D1,61378,Inhib,3094,0.0504089413144775
R1_6432A_Circle,R1,6432A,Br6432,A,Circle,Anterior,Br6432_ant,5,D,FALSE,1,D1,61378,Other,44005,0.7169506989475056
R1_6432M_Circle,R1,6432M,Br6432,M,Circle,Middle,Br6432_mid,2,A,FALSE,1,A1,48252,Astro,5779,0.11976705628782226
R1_6432M_Circle,R1,6432M,Br6432,M,Circle,Middle,Br6432_mid,2,A,FALSE,1,A1,48252,Endo,1405,0.029117964022216697
R1_6432M_Circle,R1,6432M,Br6432,M,Circle,Middle,Br6432_mid,2,A,FALSE,1,A1,48252,Inhib,4009,0.08308463897869518
R1_6432M_Circle,R1,6432M,Br6432,M,Circle,Middle,Br6432_mid,2,A,FALSE,1,A1,48252,Other,37059,0.7680303407112659
R1_6432P_Circle,R1,6432P,Br6432,P,Circle,Posterior,Br6432_pos,5,B,FALSE,1,B1,47951,Astro,17901,0.3733185960668182
R1_6432P_Circle,R1,6432P,Br6432,P,Circle,Posterior,Br6432_pos,5,B,FALSE,1,B1,47951,Endo,2462,0.05134408041542408
R1_6432P_Circle,R1,6432P,Br6432,P,Circle,Posterior,Br6432_pos,5,B,FALSE,1,B1,47951,Inhib,3070,0.06402369085107715
R1_6432P_Circle,R1,6432P,Br6432,P,Circle,Posterior,Br6432_pos,5,B,FALSE,1,B1,47951,Other,24518,0.5113136326666806
R1_6471A_Circle,R1,6471A,Br6471,A,Circle,Anterior,Br6471_ant,5,C,FALSE,1,C1,43790,Astro,3609,0.082416076729847
R1_6471A_Circle,R1,6471A,Br6471,A,Circle,Anterior,Br6471_ant,5,C,FALSE,1,C1,43790,Endo,2818,0.06435259191596254
R1_6471A_Circle,R1,6471A,Br6471,A,Circle,Anterior,Br6471_ant,5,C,FALSE,1,C1,43790,Inhib,4818,0.11002511989038594
R1_6471A_Circle,R1,6471A,Br6471,A,Circle,Anterior,Br6471_ant,5,C,FALSE,1,C1,43790,Other,32545,0.7432062114638045
R2_6471M_Circle,R2,6471M,Br6471,M,Circle,Middle,Br6471_mid,4,C,FALSE,1,C1,59392,Astro,16205,0.2728481950431034
R2_6471M_Circle,R2,6471M,Br6471,M,Circle,Middle,Br6471_mid,4,C,FALSE,1,C1,59392,Endo,2219,0.03736193426724138
R2_6471M_Circle,R2,6471M,Br6471,M,Circle,Middle,Br6471_mid,4,C,FALSE,1,C1,59392,Inhib,7353,0.12380455280172414
R2_6471M_Circle,R2,6471M,Br6471,M,Circle,Middle,Br6471_mid,4,C,FALSE,1,C1,59392,Other,33615,0.565985317887931
R2_6522M_Circle,R2,6522M,Br6522,M,Circle,Middle,Br6522_mid,4,A,FALSE,1,A1,34898,Astro,5580,0.15989454983093587
R2_6522M_Circle,R2,6522M,Br6522,M,Circle,Middle,Br6522_mid,4,A,FALSE,1,A1,34898,Endo,2350,0.06733910252736547
R2_6522M_Circle,R2,6522M,Br6522,M,Circle,Middle,Br6522_mid,4,A,FALSE,1,A1,34898,Inhib,4030,0.11547939710012035
R2_6522M_Circle,R2,6522M,Br6522,M,Circle,Middle,Br6522_mid,4,A,FALSE,1,A1,34898,Other,22938,0.6572869505415783
R2_6522P_Circle,R2,6522P,Br6522,P,Circle,Posterior,Br6522_pos,4,B,FALSE,1,B1,45063,Astro,5975,0.13259214876950048
R2_6522P_Circle,R2,6522P,Br6522,P,Circle,Posterior,Br6522_pos,4,B,FALSE,1,B1,45063,Endo,3952,0.0876994430020194
R2_6522P_Circle,R2,6522P,Br6522,P,Circle,Posterior,Br6522_pos,4,B,FALSE,1,B1,45063,Inhib,5780,0.1282648736213745
R2_6522P_Circle,R2,6522P,Br6522,P,Circle,Posterior,Br6522_pos,4,B,FALSE,1,B1,45063,Other,29356,0.6514435346071056
R2_8492P_Circle,R2,8492P,Br8492,P,Circle,Posterior,Br8492_pos,4,D,FALSE,1,D1,61604,Astro,6110,0.09918187130705798
R2_8492P_Circle,R2,8492P,Br8492,P,Circle,Posterior,Br8492_pos,4,D,FALSE,1,D1,61604,Endo,3480,0.05648983832218687
R2_8492P_Circle,R2,8492P,Br8492,P,Circle,Posterior,Br8492_pos,4,D,FALSE,1,D1,61604,Inhib,6138,0.09963638724758132
R2_8492P_Circle,R2,8492P,Br8492,P,Circle,Posterior,Br8492_pos,4,D,FALSE,1,D1,61604,Other,45876,0.7446919031231738
R3_2720P_Circle,R3,2720P,Br2720,P,Circle,Posterior,Br2720_pos,6,B,FALSE,2,B2,40776,Astro,4880,0.11967824210319795
R3_2720P_Circle,R3,2720P,Br2720,P,Circle,Posterior,Br2720_pos,6,B,FALSE,2,B2,40776,Endo,332,0.00814204433980773
R3_2720P_Circle,R3,2720P,Br2720,P,Circle,Posterior,Br2720_pos,6,B,FALSE,2,B2,40776,Inhib,3524,0.08642338630567001
R3_2720P_Circle,R3,2720P,Br2720,P,Circle,Posterior,Br2720_pos,6,B,FALSE,2,B2,40776,Other,32040,0.7857563272513243
R3_2723A_Circle,R3,2723A,Br2723,A,Circle,Anterior,Br2723_ant,6,A,FALSE,2,A2,63293,Astro,37488,0.5922929865861943
R3_2723A_Circle,R3,2723A,Br2723,A,Circle,Anterior,Br2723_ant,6,A,FALSE,2,A2,63293,Endo,2214,0.03498017158295546
R3_2723A_Circle,R3,2723A,Br2723,A,Circle,Anterior,Br2723_ant,6,A,FALSE,2,A2,63293,Inhib,3033,0.04791999115226012
R3_2723A_Circle,R3,2723A,Br2723,A,Circle,Anterior,Br2723_ant,6,A,FALSE,2,A2,63293,Other,20558,0.32480685067859005
R3_3942A_Circle,R3,3942A,Br3942,A,Circle,Anterior,Br3942_ant,5,A,FALSE,2,A2,53184,Astro,5234,0.09841305655836342
R3_3942A_Circle,R3,3942A,Br3942,A,Circle,Anterior,Br3942_ant,5,A,FALSE,2,A2,53184,Endo,477,0.008968862815884477
R3_3942A_Circle,R3,3942A,Br3942,A,Circle,Anterior,Br3942_ant,5,A,FALSE,2,A2,53184,Inhib,7537,0.14171555354993984
R3_3942A_Circle,R3,3942A,Br3942,A,Circle,Anterior,Br3942_ant,5,A,FALSE,2,A2,53184,Other,39936,0.7509025270758123
R3_3942P_Circle,R3,3942P,Br3942,P,Circle,Posterior,Br3942_pos,6,D,FALSE,1,D1,58398,Astro,6971,0.11937052638789
R3_3942P_Circle,R3,3942P,Br3942,P,Circle,Posterior,Br3942_pos,6,D,FALSE,1,D1,58398,Endo,607,0.01039419158190349
R3_3942P_Circle,R3,3942P,Br3942,P,Circle,Posterior,Br3942_pos,6,D,FALSE,1,D1,58398,Inhib,6735,0.1153292920990445
R3_3942P_Circle,R3,3942P,Br3942,P,Circle,Posterior,Br3942_pos,6,D,FALSE,1,D1,58398,Other,44085,0.754905989931162
R3_8492M_Circle,R3,8492M,Br8492,M,Circle,Middle,Br8492_mid,6,C,FALSE,2,C2,48900,Astro,6818,0.1394274028629857
R3_8492M_Circle,R3,8492M,Br8492,M,Circle,Middle,Br8492_mid,6,C,FALSE,2,C2,48900,Endo,1064,0.021758691206543966
R3_8492M_Circle,R3,8492M,Br8492,M,Circle,Middle,Br8492_mid,6,C,FALSE,2,C2,48900,Inhib,5520,0.11288343558282209
R3_8492M_Circle,R3,8492M,Br8492,M,Circle,Middle,Br8492_mid,6,C,FALSE,2,C2,48900,Other,35498,0.7259304703476482
R4_3942M_Circle,R4,3942M,Br3942,M,Circle,Middle,Br3942_mid,7,C,FALSE,1,C1,37816,Astro,1840,0.0486566532684578
R4_3942M_Circle,R4,3942M,Br3942,M,Circle,Middle,Br3942_mid,7,C,FALSE,1,C1,37816,Endo,11,2.908821662788238e-4
R4_3942M_Circle,R4,3942M,Br3942,M,Circle,Middle,Br3942_mid,7,C,FALSE,1,C1,37816,Inhib,4213,0.11140786968478951
R4_3942M_Circle,R4,3942M,Br3942,M,Circle,Middle,Br3942_mid,7,C,FALSE,1,C1,37816,Other,31752,0.8396445948804738
R4_6423A_Circle,R4,6423A,Br6423,A,Circle,Anterior,Br6423_ant,7,A,FALSE,1,A1,49709,Astro,17234,0.34669778108592003
R4_6423A_Circle,R4,6423A,Br6423,A,Circle,Anterior,Br6423_ant,7,A,FALSE,1,A1,49709,Endo,25,5.02927035345712e-4
R4_6423A_Circle,R4,6423A,Br6423,A,Circle,Anterior,Br6423_ant,7,A,FALSE,1,A1,49709,Inhib,3893,0.07831579794403427
R4_6423A_Circle,R4,6423A,Br6423,A,Circle,Anterior,Br6423_ant,7,A,FALSE,1,A1,49709,Other,28557,0.5744834939347
R4_6423P_Circle,R4,6423P,Br6423,P,Circle,Posterior,Br6423_pos,7,B,FALSE,1,B1,46333,Astro,8778,0.1894546003928086
R4_6423P_Circle,R4,6423P,Br6423,P,Circle,Posterior,Br6423_pos,7,B,FALSE,1,B1,46333,Endo,32,6.906524507370557e-4
R4_6423P_Circle,R4,6423P,Br6423,P,Circle,Posterior,Br6423_pos,7,B,FALSE,1,B1,46333,Inhib,4859,0.1048712580666048
R4_6423P_Circle,R4,6423P,Br6423,P,Circle,Posterior,Br6423_pos,7,B,FALSE,1,B1,46333,Other,32664,0.7049834890898495
R4_8667M_Circle,R4,8667M,Br8667,M,Circle,Middle,Br8667_mid,7,D,FALSE,1,D1,50229,Astro,3797,0.07559378048537697
R4_8667M_Circle,R4,8667M,Br8667,M,Circle,Middle,Br8667_mid,7,D,FALSE,1,D1,50229,Endo,84,0.0016723406796870335
R4_8667M_Circle,R4,8667M,Br8667,M,Circle,Middle,Br8667_mid,7,D,FALSE,1,D1,50229,Inhib,5424,0.10798542674550558
R4_8667M_Circle,R4,8667M,Br8667,M,Circle,Middle,Br8667_mid,7,D,FALSE,1,D1,50229,Other,40924,0.8147484520894304
R5_8325A_Circle,R5,8325A,Br8325,A,Circle,Anterior,Br8325_ant,6,A,FALSE,1,A1,39363,Astro,4776,0.12133221553235271
R5_8325A_Circle,R5,8325A,Br8325,A,Circle,Anterior,Br8325_ant,6,A,FALSE,1,A1,39363,Endo,3074,0.07809364123669436
R5_8325A_Circle,R5,8325A,Br8325,A,Circle,Anterior,Br8325_ant,6,A,FALSE,1,A1,39363,Inhib,5153,0.13090973757081523
R5_8325A_Circle,R5,8325A,Br8325,A,Circle,Anterior,Br8325_ant,6,A,FALSE,1,A1,39363,Other,26360,0.6696644056601377
R5_8325M_Circle,R5,8325M,Br8325,M,Circle,Middle,Br8325_mid,6,B,FALSE,1,B1,40858,Astro,5547,0.13576288609329873
R5_8325M_Circle,R5,8325M,Br8325,M,Circle,Middle,Br8325_mid,6,B,FALSE,1,B1,40858,Endo,3392,0.08301923735865681
R5_8325M_Circle,R5,8325M,Br8325,M,Circle,Middle,Br8325_mid,6,B,FALSE,1,B1,40858,Inhib,4922,0.1204660042097019
R5_8325M_Circle,R5,8325M,Br8325,M,Circle,Middle,Br8325_mid,6,B,FALSE,1,B1,40858,Other,26997,0.6607518723383425
R5_8667A_Circle,R5,8667A,Br8667,A,Circle,Anterior,Br8667_ant,6,C,FALSE,1,C1,52490,Astro,8262,0.1574014097923414
R5_8667A_Circle,R5,8667A,Br8667,A,Circle,Anterior,Br8667_ant,6,C,FALSE,1,C1,52490,Endo,2795,0.053248237759573255
R5_8667A_Circle,R5,8667A,Br8667,A,Circle,Anterior,Br8667_ant,6,C,FALSE,1,C1,52490,Inhib,5791,0.11032577633835017
R5_8667A_Circle,R5,8667A,Br8667,A,Circle,Anterior,Br8667_ant,6,C,FALSE,1,C1,52490,Other,35642,0.6790245761097352
R1_2720M_Star,R1,2720M,Br2720,M,Star,Middle,Br2720_mid,6,A,FALSE,1,A1,22677,Excit,6785,0.2992018344578207
R1_2720M_Star,R1,2720M,Br2720,M,Star,Middle,Br2720_mid,6,A,FALSE,1,A1,22677,Micro,2000,0.08819508753362437
R1_2720M_Star,R1,2720M,Br2720,M,Star,Middle,Br2720_mid,6,A,FALSE,1,A1,22677,Oligo,368,0.016227896106186884
R1_2720M_Star,R1,2720M,Br2720,M,Star,Middle,Br2720_mid,6,A,FALSE,1,A1,22677,Other,13524,0.596375181902368
R1_6432A_Star,R1,6432A,Br6432,A,Star,Anterior,Br6432_ant,6,D,FALSE,1,D1,54921,Excit,1606,0.02924200214854063
R1_6432A_Star,R1,6432A,Br6432,A,Star,Anterior,Br6432_ant,6,D,FALSE,1,D1,54921,Micro,5204,0.0947542834252836
R1_6432A_Star,R1,6432A,Br6432,A,Star,Anterior,Br6432_ant,6,D,FALSE,1,D1,54921,Oligo,17495,0.31854846051601393
R1_6432A_Star,R1,6432A,Br6432,A,Star,Anterior,Br6432_ant,6,D,FALSE,1,D1,54921,Other,30616,0.5574552539101618
R1_6432M_Star,R1,6432M,Br6432,M,Star,Middle,Br6432_mid,2,B,TRUE,1,B1,23754,Excit,413,0.0173865454239286
R1_6432M_Star,R1,6432M,Br6432,M,Star,Middle,Br6432_mid,2,B,TRUE,1,B1,23754,Micro,2125,0.08945861749600068
R1_6432M_Star,R1,6432M,Br6432,M,Star,Middle,Br6432_mid,2,B,TRUE,1,B1,23754,Oligo,5645,0.2376441862423171
R1_6432M_Star,R1,6432M,Br6432,M,Star,Middle,Br6432_mid,2,B,TRUE,1,B1,23754,Other,15571,0.6555106508377536
R1_6432P_Star,R1,6432P,Br6432,P,Star,Posterior,Br6432_pos,6,B,FALSE,1,B1,31633,Excit,3739,0.11819934878133595
R1_6432P_Star,R1,6432P,Br6432,P,Star,Posterior,Br6432_pos,6,B,FALSE,1,B1,31633,Micro,2191,0.06926311130781146
R1_6432P_Star,R1,6432P,Br6432,P,Star,Posterior,Br6432_pos,6,B,FALSE,1,B1,31633,Oligo,6983,0.22075048209148673
R1_6432P_Star,R1,6432P,Br6432,P,Star,Posterior,Br6432_pos,6,B,FALSE,1,B1,31633,Other,18720,0.5917870578193658
R1_6471A_Star,R1,6471A,Br6471,A,Star,Anterior,Br6471_ant,6,C,FALSE,1,C1,46238,Excit,7400,0.16004152428738266
R1_6471A_Star,R1,6471A,Br6471,A,Star,Anterior,Br6471_ant,6,C,FALSE,1,C1,46238,Micro,1827,0.03951295471257407
R1_6471A_Star,R1,6471A,Br6471,A,Star,Anterior,Br6471_ant,6,C,FALSE,1,C1,46238,Oligo,10307,0.2229118906527099
R1_6471A_Star,R1,6471A,Br6471,A,Star,Anterior,Br6471_ant,6,C,FALSE,1,C1,46238,Other,26704,0.5775336303473334
R2_6471M_Star,R2,6471M,Br6471,M,Star,Middle,Br6471_mid,5,C,FALSE,1,C1,58645,Excit,13142,0.22409412567141274
R2_6471M_Star,R2,6471M,Br6471,M,Star,Middle,Br6471_mid,5,C,FALSE,1,C1,58645,Micro,1557,0.026549577969136328
R2_6471M_Star,R2,6471M,Br6471,M,Star,Middle,Br6471_mid,5,C,FALSE,1,C1,58645,Oligo,2657,0.04530650524341376
R2_6471M_Star,R2,6471M,Br6471,M,Star,Middle,Br6471_mid,5,C,FALSE,1,C1,58645,Other,41289,0.7040497911160372
R2_6522M_Star,R2,6522M,Br6522,M,Star,Middle,Br6522_mid,5,A,FALSE,1,A1,40825,Excit,13074,0.32024494794856095
R2_6522M_Star,R2,6522M,Br6522,M,Star,Middle,Br6522_mid,5,A,FALSE,1,A1,40825,Micro,1739,0.042596448254745865
R2_6522M_Star,R2,6522M,Br6522,M,Star,Middle,Br6522_mid,5,A,FALSE,1,A1,40825,Oligo,350,0.008573178199632579
R2_6522M_Star,R2,6522M,Br6522,M,Star,Middle,Br6522_mid,5,A,FALSE,1,A1,40825,Other,25662,0.6285854255970607
R2_6522P_Star,R2,6522P,Br6522,P,Star,Posterior,Br6522_pos,5,B,FALSE,1,B1,42852,Excit,14626,0.3413142910482591
R2_6522P_Star,R2,6522P,Br6522,P,Star,Posterior,Br6522_pos,5,B,FALSE,1,B1,42852,Micro,1923,0.04487538504620554
R2_6522P_Star,R2,6522P,Br6522,P,Star,Posterior,Br6522_pos,5,B,FALSE,1,B1,42852,Oligo,558,0.0130215625875105
R2_6522P_Star,R2,6522P,Br6522,P,Star,Posterior,Br6522_pos,5,B,FALSE,1,B1,42852,Other,25745,0.6007887613180248
R2_8492P_Star,R2,8492P,Br8492,P,Star,Posterior,Br8492_pos,5,D,FALSE,1,D1,60968,Excit,16694,0.2738157722083716
R2_8492P_Star,R2,8492P,Br8492,P,Star,Posterior,Br8492_pos,5,D,FALSE,1,D1,60968,Micro,1874,0.030737436032016795
R2_8492P_Star,R2,8492P,Br8492,P,Star,Posterior,Br8492_pos,5,D,FALSE,1,D1,60968,Oligo,8,1.312163758037003e-4
R2_8492P_Star,R2,8492P,Br8492,P,Star,Posterior,Br8492_pos,5,D,FALSE,1,D1,60968,Other,42392,0.695315575383808
R3_2720P_Star,R3,2720P,Br2720,P,Star,Posterior,Br2720_pos,7,B,FALSE,2,B2,40522,Excit,10332,0.25497260747248407
R3_2720P_Star,R3,2720P,Br2720,P,Star,Posterior,Br2720_pos,7,B,FALSE,2,B2,40522,Micro,1657,0.040891367652139576
R3_2720P_Star,R3,2720P,Br2720,P,Star,Posterior,Br2720_pos,7,B,FALSE,2,B2,40522,Oligo,403,0.009945214944968165
R3_2720P_Star,R3,2720P,Br2720,P,Star,Posterior,Br2720_pos,7,B,FALSE,2,B2,40522,Other,28130,0.6941908099304082
R3_2723A_Star,R3,2723A,Br2723,A,Star,Anterior,Br2723_ant,7,A,FALSE,2,A2,51759,Excit,9289,0.17946637299793272
R3_2723A_Star,R3,2723A,Br2723,A,Star,Anterior,Br2723_ant,7,A,FALSE,2,A2,51759,Micro,3519,0.06798817596939663
R3_2723A_Star,R3,2723A,Br2723,A,Star,Anterior,Br2723_ant,7,A,FALSE,2,A2,51759,Oligo,598,0.01155354624316544
R3_2723A_Star,R3,2723A,Br2723,A,Star,Anterior,Br2723_ant,7,A,FALSE,2,A2,51759,Other,38353,0.7409919047895052
R3_3942A_Star,R3,3942A,Br3942,A,Star,Anterior,Br3942_ant,5,B,TRUE,2,B2,53562,Excit,16964,0.31671707553862816
R3_3942A_Star,R3,3942A,Br3942,A,Star,Anterior,Br3942_ant,5,B,TRUE,2,B2,53562,Micro,49,9.148276763377021e-4
R3_3942A_Star,R3,3942A,Br3942,A,Star,Anterior,Br3942_ant,5,B,TRUE,2,B2,53562,Oligo,10319,0.19265524065568873
R3_3942A_Star,R3,3942A,Br3942,A,Star,Anterior,Br3942_ant,5,B,TRUE,2,B2,53562,Other,26230,0.48971285612934545
R3_3942P_Star,R3,3942P,Br3942,P,Star,Posterior,Br3942_pos,7,D,TRUE,1,D1,49299,Excit,14047,0.2849347856954502
R3_3942P_Star,R3,3942P,Br3942,P,Star,Posterior,Br3942_pos,7,D,TRUE,1,D1,49299,Micro,1228,0.024909227367695085
R3_3942P_Star,R3,3942P,Br3942,P,Star,Posterior,Br3942_pos,7,D,TRUE,1,D1,49299,Oligo,7293,0.14793403517312725
R3_3942P_Star,R3,3942P,Br3942,P,Star,Posterior,Br3942_pos,7,D,TRUE,1,D1,49299,Other,26731,0.54222195176372745
R3_8492M_Star,R3,8492M,Br8492,M,Star,Middle,Br8492_mid,7,C,TRUE,2,C2,47724,Excit,15619,0.32727767999329477
R3_8492M_Star,R3,8492M,Br8492,M,Star,Middle,Br8492_mid,7,C,TRUE,2,C2,47724,Micro,995,0.020849048696672534
R3_8492M_Star,R3,8492M,Br8492,M,Star,Middle,Br8492_mid,7,C,TRUE,2,C2,47724,Oligo,263,0.005510854077612941
R3_8492M_Star,R3,8492M,Br8492,M,Star,Middle,Br8492_mid,7,C,TRUE,2,C2,47724,Other,30847,0.6463624172324197
R4_3942M_Star,R4,3942M,Br3942,M,Star,Middle,Br3942_mid,8,C,FALSE,1,C1,36418,Excit,12236,0.3359876983909056
R4_3942M_Star,R4,3942M,Br3942,M,Star,Middle,Br3942_mid,8,C,FALSE,1,C1,36418,Micro,166,0.0045581855126585755
R4_3942M_Star,R4,3942M,Br3942,M,Star,Middle,Br3942_mid,8,C,FALSE,1,C1,36418,Oligo,26,7.139326706573672e-4
R4_3942M_Star,R4,3942M,Br3942,M,Star,Middle,Br3942_mid,8,C,FALSE,1,C1,36418,Other,23990,0.6587401834257784
R4_6423A_Star,R4,6423A,Br6423,A,Star,Anterior,Br6423_ant,8,A,FALSE,1,A1,53241,Excit,13199,0.24791044495783324
R4_6423A_Star,R4,6423A,Br6423,A,Star,Anterior,Br6423_ant,8,A,FALSE,1,A1,53241,Micro,4642,0.08718844499539828
R4_6423A_Star,R4,6423A,Br6423,A,Star,Anterior,Br6423_ant,8,A,FALSE,1,A1,53241,Oligo,3182,0.05976596983527732
R4_6423A_Star,R4,6423A,Br6423,A,Star,Anterior,Br6423_ant,8,A,FALSE,1,A1,53241,Other,32218,0.6051351402114912
R4_6423P_Star,R4,6423P,Br6423,P,Star,Posterior,Br6423_pos,8,B,FALSE,1,B1,44055,Excit,14713,0.33396890250822836
R4_6423P_Star,R4,6423P,Br6423,P,Star,Posterior,Br6423_pos,8,B,FALSE,1,B1,44055,Micro,794,0.018022925888094427
R4_6423P_Star,R4,6423P,Br6423,P,Star,Posterior,Br6423_pos,8,B,FALSE,1,B1,44055,Oligo,98,0.0022244921121325617
R4_6423P_Star,R4,6423P,Br6423,P,Star,Posterior,Br6423_pos,8,B,FALSE,1,B1,44055,Other,28450,0.6457836794915447
R4_8667M_Star,R4,8667M,Br8667,M,Star,Middle,Br8667_mid,8,D,FALSE,1,D1,45821,Excit,15668,0.34193928548045655
R4_8667M_Star,R4,8667M,Br8667,M,Star,Middle,Br8667_mid,8,D,FALSE,1,D1,45821,Micro,1014,0.022129591235459725
R4_8667M_Star,R4,8667M,Br8667,M,Star,Middle,Br8667_mid,8,D,FALSE,1,D1,45821,Oligo,26,5.674254162938391e-4
R4_8667M_Star,R4,8667M,Br8667,M,Star,Middle,Br8667_mid,8,D,FALSE,1,D1,45821,Other,29113,0.6353636978677899
R5_8325A_Star,R5,8325A,Br8325,A,Star,Anterior,Br8325_ant,7,A,FALSE,1,A1,34779,Excit,10949,0.314816412202766
R5_8325A_Star,R5,8325A,Br8325,A,Star,Anterior,Br8325_ant,7,A,FALSE,1,A1,34779,Micro,1563,0.04494091261968429
R5_8325A_Star,R5,8325A,Br8325,A,Star,Anterior,Br8325_ant,7,A,FALSE,1,A1,34779,Other,22267,0.6402426751775496
R5_8325M_Star,R5,8325M,Br8325,M,Star,Middle,Br8325_mid,7,B,FALSE,1,B1,39389,Excit,8445,0.2143999593795222
R5_8325M_Star,R5,8325M,Br8325,M,Star,Middle,Br8325_mid,7,B,FALSE,1,B1,39389,Micro,2103,0.0533905405062327
R5_8325M_Star,R5,8325M,Br8325,M,Star,Middle,Br8325_mid,7,B,FALSE,1,B1,39389,Oligo,5085,0.129096956002945
R5_8325M_Star,R5,8325M,Br8325,M,Star,Middle,Br8325_mid,7,B,FALSE,1,B1,39389,Other,23756,0.6031125441113001
R5_8667A_Star,R5,8667A,Br8667,A,Star,Anterior,Br8667_ant,7,C,FALSE,1,C1,45066,Excit,10372,0.23015133359960946
R5_8667A_Star,R5,8667A,Br8667,A,Star,Anterior,Br8667_ant,7,C,FALSE,1,C1,45066,Micro,2327,0.05163537922158612
R5_8667A_Star,R5,8667A,Br8667,A,Star,Anterior,Br8667_ant,7,C,FALSE,1,C1,45066,Oligo,4170,0.09253095459992011
R5_8667A_Star,R5,8667A,Br8667,A,Star,Anterior,Br8667_ant,7,C,FALSE,1,C1,45066,Other,28197,0.6256823325788843
